Site,Site_Mandarin,Region,Region_Mandarin,Latitude,Longitude
YeLiu,野柳,Northeast coast,北海岸與東北角,25.2115,121.6988
TidalPark,潮境公園,Northeast coast,北海岸與東北角,25.1455,121.8066
FanCaiao,番仔澳,Northeast coast,北海岸與東北角,25.1355,121.8202
BiTou,鼻頭,Northeast coast,北海岸與東北角,25.1261,121.9142
LongDong1.5,龍洞1.5號,Northeast coast,北海岸與東北角,25.1158,121.917
LongDong4,龍洞4號,Northeast coast,北海岸與東北角,25.1138,121.9202
ShiTiPing,石梯坪,East coast,東海岸,23.4834,121.5149
Gihaw,基翬,East coast,東海岸,23.1164,121.3971
ShanYuan,杉原,East coast,東海岸,22.8286,121.1939
HeChei,合界,Kenting,墾丁,21.9556,120.712
DaBaiSha,大白沙,Green Island,綠島,22.6392,121.492
ShiLang,石朗,Green Island,綠島,22.6548,121.4735
TurtleBay,龜灣,Green Island,綠島,22.6429,121.4837
ChaiKou,柴口,Green Island,綠島,22.6796,121.483
GongGuan,公館鼻,Green Island,綠島,22.6797,121.4906
JiangJunYan,將軍岩,Green Island,綠島,22.6776,121.4982
BeautyRock,玉女岩,Orchid Island,蘭嶼,22.0822,121.5178
HenRock,母雞岩,Orchid Island,蘭嶼,22.0831,121.5578
LionSouth,南獅,Orchid Island,蘭嶼,22.0855,121.5657
HouShi,厚石,Xiaoliuqiu,小琉球,22.3247,120.3682
BeautyCave,美人洞,Xiaoliuqiu,小琉球,22.3552,120.3715
YuChenWei,漁埕尾,Xiaoliuqiu,小琉球,22.345,120.3898
EasternIsletW,東嶼坪西側,Southern Islands,澎湖嶼坪,23.26,119.5116
EasternIsletE,東嶼坪東側,Southern Islands,澎湖嶼坪,23.2561,119.517
EasternIsletS,東嶼坪南側,Southern Islands,澎湖嶼坪,23.2546,119.5124
